judul,perusahaan,deskripsi,label
e-commerce staff,pt miniso lifestyle trading indonesia miniso indonesia,responsibilities responsible for overall online store sales in various e-commerce marketplaces such as tokopedia shopee lazada tiktok etc upload and manage product catalogs on the marketplace achieve the targets of each online store create promotions to increase sales conversions and sales figures handle customer complaints with return refund and product exchange policies requirements at least a bachelors degree at any field from reputable university with max age of 30 years old minimum 1 year of experience as a relevant positions understanding of e-commerce platforms and related technical knowledge proficient in operating office software such as excel word and ppt clear logical thinking sensitivity to numbers and data have good communication skills and cross departmental collaboration skills strong ability to work hard,asli
warehouse head,p t banteng pratama rubber,awas seluruh giat operasional gudang mulai terima simpan hingga keluar barang pasti patuh sop laku koordinasi antar tim departemen perlu lancar proses pantau timeline trucking ecek timeline kirim terima barang pantau jadwal trucking tanggung jawab validasi input data sistem wh jaga akurat data inventaris pasti semua transaksi catat benar pasti seluruh giat jalan sesuai standar operasional prosedur sop laku laku evaluasi rutin tingkat efisiensi operasional susun lapor operasional kala cakup status stok progres kirim kendala hadap lapor sampai manajemen bahan evaluasi ambil putus kualifikasi didik d3 s1 bidang logistik supply chain jurus jenis alam 3 tahun kepala gudang utama alam guna wms sistem manajemen inventaris lain alam pimpin tim operasional gudang mampu komunikasi efektif baik internal maupun eksternal teliti periksa dokumen data disiplin jalan prosedur operasional tetap,asli
purchasing admin,iklan anonim,purchasing admin tanggung jawab utama kelola beli supplier hubung jalin kerja sama supplier pasti sedia bahan baku pantau harga promo diskon supplier informasi tim kait laku negosiasi harga pasti beli sesuai standar kualitas usaha proses purchase order po pasti barang terima sesuai pesan jumlah kualitas harga manajemen stok inventaris pantau baru data stok bahan baku kerja sama tim gudang pasti simpan barang kondisi baik susun lapor ada barang kala perlu internal administrasi dokumentasi kelola transaksi beli cocok faktur pasti akurat invoice supplier koordinasi tim uang pasti bayar supplier tepat waktu simpan kelola database supplier dokumentasi beli organisir kualifikasi didik minimal d3 s1 bidang administrasi manajemen jenis alam minimal 1-2 tahun bidang purchasing mahir guna microsoft excel google sheet sistem inventaris teliti milik terampil negosiasi mampu kerja detail sistematis komunikatif mampu koordinasi bagai pihak supplier tim sales uang,asli
relationship officer bca finance - tempat jakarta selatan,pt bca finance,deskripsi kerja bantu pasar layan jasa bca finance konsumen jaga hubung baik rekan bca finance penuh target jual tetap usaha kualifikasi didik minimal d3 s1 semua jurus ipk minimal 2 5 senang kerja lapang wajib milik sim c motor fresh graduate milik alam kerja domisili daerah jakarta selatan sekitar sedia tempat wilayah jakarta selatan bca finance tunduk tentu uu nomor 27 tahun 2022 lindung data pribadi ikut atur turun ubah waktu waktu tuju data guna verifikasi kelola ditatausahakan tuju rekrut pt bca finance,asli
legal corporate secretary supervisor,pt blue bird tbk,job desc  - drafting and reviewing all types of agreements whether standardized or non-standardized to support the companys routine operational activities including preparing memorandums powers of attorney and other legal instruments required for contract execution - preparing board of directors board of commissioners meeting resolutions extraordinary annual general meeting of shareholders gms documents circular resolutions of shareholders amendments to the articles of association changes in directors or board of commissioners members and other necessary documents - maintaining good communication with the companys stakeholders regarding the drafting of deeds and agreements required by the company - conducting legal research and preparing legal memorandums which may include summaries legal due diligence or other analyses based on the companys needs - organizing and maintaining the filing of documents within the legal corporate secretary department - performing other tasks as required by the company requirements  - bachelors degree in law - minimum 1-3 years of work experience in a relevant field related to the required job responsibilities - experience in contract drafting legal drafting and litigation if necessary - strong communication and negotiation skills - detail-oriented and meticulous,asli
customer order management,pt adidas indonesia,purpose mission provide order management and support to the sales team with the objective of achieving organizations sales profit targets and meeting team objectives function provide operational support for customer related functions on ordering tool coordinate and ensure the system is all setup prior to the trade show to submit accurately customer pre-orders in the system to submit clearance orders in the system to process and send out the order confirmations to collect reactively re-orders for customers to adjust order book accordingly if there is a demand the customer to proceed customer order confirmation to communicate cross-functional between department to manage the return request from customer professional background experiences minimum 2 year of experiences in order management inventory management and customer service preferably in apparel fashion fw or fmcg retail industries degree or diploma in logistics management sap and excel is a must,asli
production logistic operator,pt glovis indonesia international,tanggung jawab - laku packing barang - antar barang gudang line produksi - pasti kualitas barang kirim line produksi - laku validasi part sesuai list - susun laku tata sesuai prosedur simpan sesuai standar laku gudang - mampu investigasi barang hilang kurang rusak - perhati 5s area - jalan safety baik - laku kaizen syarat - minimum didik sma derajat - komunikasi baik - jujur teliti disiplin orientasi target - kerja bawah tekan - sedia kerja shifting kerja daerah cikarang,asli
hr payroll staff,pt catur elang perkasa,didik minimal d3 jurus akuntansi milik alam bidang hr payroll cb min 1 tahun milik mampu ms excel spreadsheet level intermediate mampu buat dokumen jobdesc milik tahu kait bpjs sehat bpjs ketenagakerjaan milik paham kait uu ketenagakerjaan mampu elo data pph21 teliti integritas tinggi pernah milik riwayat catat kriminal tempat pondok labu jakarta selatan,asli
purchasing,pt herindo adikarya jaya,tanggung jawab kuasa detail proses sedia ada barang jasa mulai cari tawar hingga pilih supplier vendor laku verifikasi seluruh tawar beri usul pilih barang sesuai kualifikasi kuasa olah data aset manajemen terima minta material team project lapang susun daftar ada barang kategori beli  beli barang jasa beli putus langgan hubung supplier dapat tawar harga menganalisa pilih tawar yg beri supplier yg kualitas baik beri benefit usaha laku negosisasi harga minta tuju proses beli manajemen buat purchase order supplier lacak kirim ecek kualitas barang simpan dokumen upa po inv aju bayar syarat minimal lulus s1 universitas nama jurus akutansi manajemen bisnis  purchasing staff milik alam minimal 2 tahun bidang purchasing konstruksi kuasa software accurate punya problem-solving skill siap kerja bawah tekan utama milik latar belakang manajemen beli kuasa terampil microsoft office mampu baca buat bill of quantity bq bidding purchasing purchase order po laku monitoring mampu laku negosiasi proses tawar milik mampu pimpin baik sedia kerja luar jam kerja normal perlu mampu laku kerja administratif disiplin masuk siap data buat lapor,asli
crew store seasonal,trans retail group,sempat cari sosok energik orientasi layan langgan gabung crew store seasonal trans retail group jakarta peran ini jadi bagi tim dukung alam belanja luar biasa langgan kami posisi tawar jadwal kerja paruh waktu fleksibel beri sempat kembang terampil ritel harga tanggung jawab utama sambut bantu langgan ramah penuh semangat pasti rasa harga layan baik pasti toko selalu bersih rapi tarik prioritas alam belanja langgan jaga stok produk tata rapi organisir bantu isi ulang tata barang dagang jawab tanya langgan cepat akurat beri informasi produk relevan proses bayar langgan efisien profesional partisipasi giat toko lain perlu dukung operasi hari terampil kualifikasi butuh mampu komunikasi baik orientasi layan langgan luar biasa milik etos kerja kuat energik fleksibel adaptasi ubah paham dasar ritel alam lingkung toko ecer mampu kerja individu maupun tim tahu dasar operasi mesin kasir sistem inventaris buka sumatera jawa bal kalimantan nusa tenggara trans retail group main utama industri ritel indonesia jaring toko nama sebar seluruh negeri salah satu usaha ritel muka komitmen beri alam belanja tak lupa langgan kami harga agam cipta lingkung kerja inklusif beri sempat tara semua orang tarik jadi bagi tim kami lamar sekarang gabung jalan tuju sukses lebih besar,asli
customer care officer,pt panin sekuritas tbk,sempat berkarir usaha efek muka milik lisensi broker jamin emisi catat bursa efek indonesia sedang cari kandidat baik isi posisi  customer care officer tanggung jawab kerja  tangan tanya informasi produk keluh nasabah masuk  baik lalu telepon telegram e-mail tangan outbound calls nasabah aktif survey langgan update rekomendasi saham melaui telepon follow up nasabah beri update rekomendasi saham dasar teknikal ulas ulas jadi rekomendasi nasabah konsultasi saham laku tugas administrasi lain syarat minimum lulus sarjana s1 jurus business management economics lulus lain tara alam minimal 2 tahun posisi sama paham produk sekuritas atau produk uang lain alam customer service care bank sekuritas lebih utama tampil rapi memahani konsep service excellent know your customer milik mampu baca chart saham paham informasi gera harga saham milik mau motivasi kuat kerja milik pribadi baik operasi ms office lokasi tempat  kantor pusat,asli
legal corporate secretary supervisor,pt blue bird tbk,job desc  - drafting and reviewing all types of agreements whether standardized or non-standardized to support the companys routine operational activities including preparing memorandums powers of attorney and other legal instruments required for contract execution - preparing board of directors board of commissioners meeting resolutions extraordinary annual general meeting of shareholders gms documents circular resolutions of shareholders amendments to the articles of association changes in directors or board of commissioners members and other necessary documents - maintaining good communication with the companys stakeholders regarding the drafting of deeds and agreements required by the company - conducting legal research and preparing legal memorandums which may include summaries legal due diligence or other analyses based on the companys needs - organizing and maintaining the filing of documents within the legal corporate secretary department - performing other tasks as required by the company requirements  - bachelors degree in law - minimum 1-3 years of work experience in a relevant field related to the required job responsibilities - experience in contract drafting legal drafting and litigation if necessary - strong communication and negotiation skills - detail-oriented and meticulous,asli
hr payroll staff,pt catur elang perkasa,didik minimal d3 jurus akuntansi milik alam bidang hr payroll cb min 1 tahun milik mampu ms excel spreadsheet level intermediate mampu buat dokumen jobdesc milik tahu kait bpjs sehat bpjs ketenagakerjaan milik paham kait uu ketenagakerjaan mampu elo data pph21 teliti integritas tinggi pernah milik riwayat catat kriminal tempat pondok labu jakarta selatan,asli
tax staff,pt so good food,deskripsi kerja kontrol transaksi potong pph 4 ayat 2 15 21 22 23 26 buat faktur pajak keluar pasti transaksi jual kena ppn sesuai atur paja laku kontrol faktur pajak beli hitung pph ppn laku rekonsiliasi siap id billing lapor pph ppn proses bayar pajak pph ppn usaha akurat tepat waktu siap dokumen kait sengketa pajak laku simpan arsip dokumen spt surat kait paja kualifikasi didik minimal s1 akuntansi uang paja milik alam 1-2 tahun posisi sama bidang fmcg mahir paja kuasa atur paja mahir accounting susun analisa lapor uang kuasa ms office utama excel powerpoint milik tahu alam kait sistem sap djp online e-faktur e-spt milik sertifikat paja brevet a b rapi teliti analitis terampil organisir baik mampu kerja deadline sedia tempat daan mogot jakarta barat,asli
production manager,chocolate monggo, usaha cokelat sedang kembang inovatif bas yogyakarta indonesia komitmen produksi produk cokelat premium biji kakao lokal proses mulai biji kakao baik hasil batang cokelat luar biasa praline artisanal sedang cari orang manager produksi pimpin tim produksi awas proses buat cokelat pasti standar kualitas efisiensi penuh deskripsi kerja chocolate monggo usaha gerak bidang produksi cokelat premium cari orang manager operasional produksi kompeten pimpin kelola operasional pabrik kami posisi tanggung jawab pasti proses produksi jalan efisien aman sesuai standar kualitas usaha tanggung jawab utama 1 kelola operasional kelola seluruh proses produksi pasti target produksi capai sesuai jadwal pasti seluruh mesin alat produksi operasi optimal awas sedia bahan baku kelola stok produksi 2 awas tim pimpin awas beri arah tim produksi kembang terampil kapasitas tim lalu aju latih evaluasi kala 3 tingkat proses identifikasi peluang tingkat efisiensi kualitas produk implementasi sistem kerja lebih efektif tingkat produktivitas 4 patuh standar pasti semua aktivitas produksi patuh sop ik standar aman pangan haccp iso dll kelola dokumentasi kait proses produksi sesuai regulasi laku 5 kolaborasi koordinasi divisi lain masuk rd quality control teknisi logistik dukung lanjut produksi koordinasi department sales kualifikasi didik minimal s1 bidang teknik industri teknologi pangan jurus kait milik alam kerja minimal 5 tahun 2 tahun akhir posisi manajerial manufaktur makan paham baik proses manufaktur makan khusus cokelat jadi nilai tambah milik mampu pimpin tim visioner milik mampu manajerial milik mampu komunikasi efektif milik mampu analisa tajam problem solving milik mampu laku improvement familiar standar aman pangan sistem manajemen mutu,asli
breakdown maintenance technician,pt hli green power,requirement maximum vocational high school smk in major mechanical manufacture electrical electronics automation instrument mechatronic have an experience of working at least 2 years in technician or mechanical able to communicate in english or korean language will be an advantage have an experience of working with siemens mitsubishi plc program modification able to perform electrical maintenance and repairs able to use electrical measurement tools having knowledge about rotational machine roll to roll machinery having knowledge about piping able to use workshop tools grinding welding drill etc willing to work on 3 shift have a willingness to learn about new production technology willing to work in karawang job description  filling checklist for machine condition preventive maintenance and predictive maintenance machine troubleshooting making report of daily shift activity handle spare part room during shift 2 and shift 3 handle workshop for operator if needed working time work on 3 shift employment status contract employee benefits nett salary private insurance meal allowance transportation allowance coverage bpjs and tax deduction,asli
accounting staff,pt plaza nusantara realti,responsible for data update on exchange rate daily weekly exchange rate responsible to do stock opname on petty cash and tenant vouchers shopping mall office tower input parking income and plaza indonesia gift voucher for office tower prepare journal of accrual parking and pi gift voucher delivering financial information related to fixed asset by preparing fa commercial fiscal gain or loss assets sale working paper prepare notes for plaza indonesia realtys financial statement responsible for bank reconciliation and payment request specification bachelor degree graduate in accounting experience in finance - accounting min 2 years preferably in retail industry prior experience in reporting assisting with audits and budgeting process reconciling accounts - or experience in kap monthly bank reconciliation experience is highly desired experience and familiar with microsoft excel or any finance accounting system,asli
beauty advisor medan,pt cantik alami indonesia,tanggungjawab kerja layan langgan beri konsultasi rekomendasi produk jelas kait manfaat guna cara pakai produk pasti jaga area toko selalu rapih bersih laku stock opname hari bulan beri layan basic facial treatment customer bantu store leader kelola inventaris produk syarat tampil profesional didik minimal smu derajat alam jaga toko skincare  jual beauty products sedia ikut jam kerja shifting siap lembur ramah jujur tanggung jawab paham knowledge basic skincare bisa target jual sedia kerja hari weekend tanggal merah gabung cepat tempat mall centre point medan,asli
sales staff,pt torica indonesia,input kalkulasi data forecast terima customer terima po customer input sistem issue quotation customer input po sistem kirim supplier giat sales eigyou support administrasi purchase sales,asli
purchasing,pt panca logam sukses mandiri,senang cari supplier kompeten negosiasi harga jadi purchasing officer pt panca logam sukses mandiri anda senang punya mampu negosiasi harga barang senang punya mampu cari supplier milik komunikasi efektif deskripsi kerja kontrol follow up purchase order komunikasi pihak logistik kena atur kirim maupun ambil barang buat cetak purchase order kirim supplier proses beli jalan baik sesuai jadwal spesifikasi ingin kontrol follow up bayar supplier finance pasti barang butuh stok sedia susun rencana beli aktif komunikasi semua pihak kait oleh data akurat up to date pantau terima barang susun pasti semua data beli diinput tanggung jawab atas lapor harga beli kualifikasi minimal didik d3 usia maximal 30 tahun utama alam bidang purchasing minimal  2 tahun mampu operasi ms office word excel milik mampu cari negosiasi seleksi supplier milik mampu buat lapor hari minggu atau bulan loyal disiplin detail hardworker komunikatif kerja individu maupun team full-time position s available apply until 03 april 2025,asli
smelter - warehouseman,pt amman mineral nusa tenggara,responsibility receive incoming materials including unpacking sorting checking and locating items into the warehouse for storage picking and issuing materials as requested by users including re-packing items and delivery on site as required locate and store materials in warehouse racking binning and yard locations carries out bin maintenance and stock control checks ensures warehouse security and maintains work area loading and unloading of goods and materials using materials handling equipment the duties and responsibilities listed above are representative of the nature and level of work assigned and are not necessarily all-inclusive other duties as assigned requirement appropriate license for equipment expertise basic computer skills preferably with experience in ms office and ellipse applications good communication skill both indonesia and english,asli
hrd human resource department,pt obor indonesia,laku proses rekrutmen laku dokumentasi data tenaga kerja monitoring hadir karyawan susun lapor proses gaji jalin hubung industrial internal maupun eksternal baik buat lapor statistik komposisi tenaga kerja sampai direksi laku awas karyawan pasti proses patuh atur usaha jalan baik tangan bpjs sehat bpjs ketenagakerjaan mampu kelola administrasi sdm mulai cuti tahun izin sakit ketidakhadiran paham paja pajak karyawan pajak hasil usaha potong pajak,asli
relatioship manager bank bumn,pt prima karya sarana sejahtera,didik minimal s1 semua jurus fresh graduate milik alam bidang marketing perban minimal 2 tahun lebih utama milik mampu komunikasi baik baik verbal tulis maupun nonverbal milik terampil analitis mampu negosiasi kuat milik tahu layan langgan crm customer relationship management utama milik sertifikasi analis kredit manajemen risik,asli
admin purchasing fb,cv miyou yogurt indonesia,deskripsi kerja tanggung jawab atas sedia stok barang kelola dokumen administratif kelola mesan kirim barang awal hingga akhir buat rekap stok jalan pasti barang terima kirim kendala kualifikasi mampu kelola sedia efisien masuk rencana ada pantau stok pasti sedia barang sesuai minta milik mampu administratif kuat masuk kelola dokumen pantau pesan komunikasi pasok efektif mampu komunikasi bagai pihak masuk pasok anggota tim internal departemen kait lain pasti lancar proses beli milik paham baik anggar biaya operasional mampu kelola beli sesuai batas anggar tetap milik terampil guna perangkat lunak platform teknologi guna manajemen beli ada perangkat lunak erp enterprise resource planning sistem manajemen sedia mampu kerja teliti milik teliti tinggi laku tugas administratif kerja mandiri maupun tim utama alam belum posisi administratif beli ada industri fb wfo kalideres jakarta barat,asli
warehouse head,daya group,job descriptions to analyze and solve daily problem in the warehouse area to supervise all team member comply to sop and safety protocol manage receiving and delivering process effectively maintain database to keep updated make daily report  stock level delivery schedules defect stock finance expenditure develop team member through couching counseling to meet the competencies required conducting improvement activities to make all daily operation process efficient and effective qualifications bachelor degree from supply chain management or logistic management have 4 years working experience as warehouse supervisor have strong knowledge in logistic management and supply chain management good in analytical thinking excellent in maintaining coordination across functions strong in leadership willing to located in bandung or bandung barat,asli
staff administrasi,cv berkat saintifindo,kualifikasi butuh  didik min d3 semua jurus utama teknik kimia alam min 1 tahun bidang administrasi admin gudang admin sales erti bahasa inggris baik aktif pasif milik mampu analisa baik milik inisiatif tinggi milik mampu komunikasi baik baik lisan maupun tulis aplikasi komputer ms office word excel power point dll kerja mandiri team sedia kerja full time tidak sedang kuliah kerja target sedia tempat medan jakarta,asli
purchasing,pt panca logam sukses mandiri,senang cari supplier kompeten negosiasi harga jadi purchasing officer pt panca logam sukses mandiri anda senang punya mampu negosiasi harga barang senang punya mampu cari supplier milik komunikasi efektif deskripsi kerja kontrol follow up purchase order komunikasi pihak logistik kena atur kirim maupun ambil barang buat cetak purchase order kirim supplier proses beli jalan baik sesuai jadwal spesifikasi ingin kontrol follow up bayar supplier finance pasti barang butuh stok sedia susun rencana beli aktif komunikasi semua pihak kait oleh data akurat up to date pantau terima barang susun pasti semua data beli diinput tanggung jawab atas lapor harga beli kualifikasi minimal didik d3 usia maximal 30 tahun utama alam bidang purchasing minimal  2 tahun mampu operasi ms office word excel milik mampu cari negosiasi seleksi supplier milik mampu buat lapor hari minggu atau bulan loyal disiplin detail hardworker komunikatif kerja individu maupun team full-time position s available apply until 03 april 2025,asli
administration,pt kb valbury sekuritas,kb valbury sekuritas  a leading financial services firm under kb financial group specializes in brokerage investment banking and capital market advisory with a commitment to growth the company is expanding its operations and enhancing its services to better serve clients across indonesia as part of this growth kb valbury sekuritas is actively seeking talented individuals to join its dynamic teams and contribute to its mission we have several exciting positions available across various functions admin sales in house responsibilities administration process of head office division responsible to input new clients data verification process of new clients data compile every documents related with clients data information and transaction properly qualifications required poses bachelor degree from related business have working experience as an administrator minimum 1 year have an excellent communication and interpersonal skills able to work neatly and well organized especially related with the team data management,asli
tax staff,pt so good food,deskripsi kerja kontrol transaksi potong pph 4 ayat 2 15 21 22 23 26 buat faktur pajak keluar pasti transaksi jual kena ppn sesuai atur paja laku kontrol faktur pajak beli hitung pph ppn laku rekonsiliasi siap id billing lapor pph ppn proses bayar pajak pph ppn usaha akurat tepat waktu siap dokumen kait sengketa pajak laku simpan arsip dokumen spt surat kait paja kualifikasi didik minimal s1 akuntansi uang paja milik alam 1-2 tahun posisi sama bidang fmcg mahir paja kuasa atur paja mahir accounting susun analisa lapor uang kuasa ms office utama excel powerpoint milik tahu alam kait sistem sap djp online e-faktur e-spt milik sertifikat paja brevet a b rapi teliti analitis terampil organisir baik mampu kerja deadline sedia tempat daan mogot jakarta barat,asli
relationship officer bca finance - tempat jakarta selatan,pt bca finance,deskripsi kerja bantu pasar layan jasa bca finance konsumen jaga hubung baik rekan bca finance penuh target jual tetap usaha kualifikasi didik minimal d3 s1 semua jurus ipk minimal 2 5 senang kerja lapang wajib milik sim c motor fresh graduate milik alam kerja domisili daerah jakarta selatan sekitar sedia tempat wilayah jakarta selatan bca finance tunduk tentu uu nomor 27 tahun 2022 lindung data pribadi ikut atur turun ubah waktu waktu tuju data guna verifikasi kelola ditatausahakan tuju rekrut pt bca finance,asli
purchasing officer,pt ancara logistics indonesia tbk,responsibilities  send price request for goods services to vendors and compare prices in accordance to company standard create purchase orders based on the approved bid tabulation results and ensure the selected vendors receive and process the purchase order documents ensure the goods services purchased in accordance with the purchase order documents make request for funds to the finance department for vendors who use cash payment schemes responsible for administrative activities and document storage in the purchasing section requirements  min bachelors degree in any major fresh graduate or have min 1-3 years experience in the same field excellent in ms office understand statistics have strong negotiation skills with supplier location based in samarinda,asli
purchasing officer,pt ancara logistics indonesia tbk,responsibilities  send price request for goods services to vendors and compare prices in accordance to company standard create purchase orders based on the approved bid tabulation results and ensure the selected vendors receive and process the purchase order documents ensure the goods services purchased in accordance with the purchase order documents make request for funds to the finance department for vendors who use cash payment schemes responsible for administrative activities and document storage in the purchasing section requirements  min bachelors degree in any major fresh graduate or have min 1-3 years experience in the same field excellent in ms office understand statistics have strong negotiation skills with supplier location based in samarinda,asli
customer service and office administration staff,pt ortopedia inovasi dinamika,about the role we are seeking a dedicated organized and enthusiastic individual to manage our customer service office administration and social media activities the ideal candidate needs to be fluent or strong in communication highly organized and able to work independently while contributing to a collaborative team environment if youre passionate about providing excellent service keeping an office running smoothly and engaging with customers through social media wed love to hear from you as a customer service and office administration staff you will be responsible for a variety of key tasks that keep our company running smoothly and efficiently you will serve as the first point of contact for our patients and customers manage day-to-day office operations and engage with customer through social media this is a dynamic role that requires a proactive individual who is both organized and creative this is a great opportunity for someone with excellent communication and organizational skills a creative mindset and the ability to manage multiple responsibilities what youll be doing provide exceptional service to customers via phone email social media and in-person inquiries monitor social media activity responding to customer comments and inquiries in a timely manner manage schedules and patients appointments ensuring smooth clinic and office operations handle patients administration and payments ensure customers have a positive experience and leave satisfied with our services coordinate and maintain office files and supplies what were looking for university degree proven experience in customer service office administration or a similar role excellent communication skills both written and verbal good negotiation and interpersonal relation skills proficiency in microsoft office suite word excel powerpoint strong multitasking and organizational skills strong attention to detail and accuracy proficiency in social media platforms ability to stay calm and composed under pressure while managing multiple tasks working day is from tuesday to saturday about us orthopaedia indonesia is a leading provider of innovative orthopaedic solutions in indonesia with a focus on quality sustainability and customer satisfaction we are dedicated to improving the lives of our clients through advanced technologies and exceptional service if you are passionate about customer service and eager to contribute to the success of our dynamic organization we encourage you to apply now,asli
compliance officer,pt sinarmas multifinance,pt sinar mas multifinance sedang buka lowong kerja posisi compliance officer  job description 1 laku koordinasi seluruh fungsi department buat bijak usaha masuk sop se memo internal 2 bantu laku sinkronisasi pantau evaluasi giat operasional usaha usaha patuh atur tentu hukum laku 3 bantu laku kece izin usaha usaha laku sesuai sesuai atur tentu hukum laku 4 bantu laku kece tata kelola usaha sesuai atur tentu wajib otoritas jasa uang ojk 5 urus lengkap pasti proses fit and proper test calon direksi dan atau calon komisaris usaha laksana sesuai tentu hukum laku 6 bantu susun lapor kait patuh usaha penuh wajib tetap ojk segera apply kandidat penuh kualifikasi proses laku proses online interview ,asli
hr payroll staff,pt catur elang perkasa,didik minimal d3 jurus akuntansi milik alam bidang hr payroll cb min 1 tahun milik mampu ms excel spreadsheet level intermediate mampu buat dokumen jobdesc milik tahu kait bpjs sehat bpjs ketenagakerjaan milik paham kait uu ketenagakerjaan mampu elo data pph21 teliti integritas tinggi pernah milik riwayat catat kriminal tempat pondok labu jakarta selatan,asli
administration,pt kb valbury sekuritas,kb valbury sekuritas  a leading financial services firm under kb financial group specializes in brokerage investment banking and capital market advisory with a commitment to growth the company is expanding its operations and enhancing its services to better serve clients across indonesia as part of this growth kb valbury sekuritas is actively seeking talented individuals to join its dynamic teams and contribute to its mission we have several exciting positions available across various functions admin sales in house responsibilities administration process of head office division responsible to input new clients data verification process of new clients data compile every documents related with clients data information and transaction properly qualifications required poses bachelor degree from related business have working experience as an administrator minimum 1 year have an excellent communication and interpersonal skills able to work neatly and well organized especially related with the team data management,asli
purchasing,pt herindo adikarya jaya,tanggung jawab kuasa detail proses sedia ada barang jasa mulai cari tawar hingga pilih supplier vendor laku verifikasi seluruh tawar beri usul pilih barang sesuai kualifikasi kuasa olah data aset manajemen terima minta material team project lapang susun daftar ada barang kategori beli  beli barang jasa beli putus langgan hubung supplier dapat tawar harga menganalisa pilih tawar yg beri supplier yg kualitas baik beri benefit usaha laku negosisasi harga minta tuju proses beli manajemen buat purchase order supplier lacak kirim ecek kualitas barang simpan dokumen upa po inv aju bayar syarat minimal lulus s1 universitas nama jurus akutansi manajemen bisnis  purchasing staff milik alam minimal 2 tahun bidang purchasing konstruksi kuasa software accurate punya problem-solving skill siap kerja bawah tekan utama milik latar belakang manajemen beli kuasa terampil microsoft office mampu baca buat bill of quantity bq bidding purchasing purchase order po laku monitoring mampu laku negosiasi proses tawar milik mampu pimpin baik sedia kerja luar jam kerja normal perlu mampu laku kerja administratif disiplin masuk siap data buat lapor,asli
it support,pt adi data informatika,it support jobdesk  paham monitoring software paham basic it infrastruktur paham command linux opsional lebih utama familiar db khusus sql  oracle laku analisa log requirement  -pendidikan minimal s1 teknik lnformatika s1 computer science s1 sistem lnformasi -usia maksimal 35 tiga puluh lima tahun -kapabilitas analytical thinking -memilki mau ajar baru -mampu kerja sama orang lain -membangun percaya -berorientasi hasil kualitas -mudah adaptasi -memliki attitude baik,asli
administration,pt kb valbury sekuritas,kb valbury sekuritas  a leading financial services firm under kb financial group specializes in brokerage investment banking and capital market advisory with a commitment to growth the company is expanding its operations and enhancing its services to better serve clients across indonesia as part of this growth kb valbury sekuritas is actively seeking talented individuals to join its dynamic teams and contribute to its mission we have several exciting positions available across various functions admin sales in house responsibilities administration process of head office division responsible to input new clients data verification process of new clients data compile every documents related with clients data information and transaction properly qualifications required poses bachelor degree from related business have working experience as an administrator minimum 1 year have an excellent communication and interpersonal skills able to work neatly and well organized especially related with the team data management,asli
warehouse head,daya group,job descriptions to analyze and solve daily problem in the warehouse area to supervise all team member comply to sop and safety protocol manage receiving and delivering process effectively maintain database to keep updated make daily report  stock level delivery schedules defect stock finance expenditure develop team member through couching counseling to meet the competencies required conducting improvement activities to make all daily operation process efficient and effective qualifications bachelor degree from supply chain management or logistic management have 4 years working experience as warehouse supervisor have strong knowledge in logistic management and supply chain management good in analytical thinking excellent in maintaining coordination across functions strong in leadership willing to located in bandung or bandung barat,asli
video design editor officer,pt bundo kanduang busana,kamu jago edit video content tiktok ig kreatif editing video ikut trend gabung sama cotton mom video design editor officer vdo jika punya portofolio video content tarik kuasa software-software editing video gambar paham trend video viral tiktok instagram cotton mom salah satu brand pakai bayi anak indonesia sedang kembang pesat fokus hasil produk kualitas baik misi jadi usaha ipo beberapa tahun datang visi cotton mom terus laku inovasi tingkat sumber daya manusia jadi cotton mom tempat tepat tingkat karir dar kerja kembang potensi diri sama kami segera kirim cv responsibilities laku editing video design content hasil content tarik kolaborasi tim kreatif lain hasil video content tarik requirements milik alam 2-3 tahun bidang video editing milik pribadi senang senang sosial pikir kritis percaya diri dewasa milik service mindset mahir guna aplikasi editing benefit monthly incentive dasar kerja pribadi annual bonus dasar kerja usaha pribadi quarterly team celebration annual rewards trip dasar kerja usaha full employment status pegawai tetap full time 5 working day a week kerja 5 hari minggu senin hingga jumat,asli
qc qa staff,pt seiwa indonesia,pt seiwa indonesia is a mitsuboshi group engaged in the leading manufacturing industry in indonesia located in bekasi-west java is looking for a dedicated staff to join our team with the skills and qualifications bachelors degree in engineering or science proficient in english good attitude and interpersonal skill strong analytical problem solving and job management skill good communication and presentation skill team work orientation good adaptability and agility proficient in computer operation excel word power point assist in the preparation of routine reports and special reports required by management identify trends patterns and insights that can aid strategic decision making collaborate with cross-functional teams to ensure smooth flow of information assist in the maintenance and enhancement of existing reporting systems provide analytical support for special projects as needed,asli
